# VSM Evidence Workbench - Normalized Data Export
# Generated: 2026-04-30 20:57:01 UTC
# Source file: C:\Users\Administrator\OneDrive - Gannon University\Spring 2026\Senior Design\RigolDS0.csv
# Samples: 1000000
# CSV mode: preview_downsampled
# Note: Preview CSV downsampled to 50,000 rows for package size; metrics computed on full-resolution data.
# Sample rate: 10000000.0 Hz
#
ts,v_ab,v_an,v_bc,v_bn,v_ca,v_cn
0.0002620000000000053,-1.7459803,-0.3214723,2.863302,1.424508,-1.1173217,-1.438794
0.00026400000000000035,-1.6656122,-0.2411042,2.863302,1.424508,-1.1976898,-1.438794
0.00026600000000000235,-1.34659808,-0.08036808,2.86489,1.26623,-1.51829192,-1.59866
0.00026800000000000435,-1.6643842000000002,-0.1607362,2.942442,1.503648,-1.2780578,-1.438794
0.0002699999999999994,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.0002720000000000014,-1.8251203,-0.3214723,3.0223750000000003,1.503648,-1.1972547,-1.518727
0.0002740000000000034,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.0002760000000000054,-1.8238911999999998,-0.2411042,3.101514,1.582787,-1.2776228,-1.518727
0.00027800000000000047,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.00028000000000000247,-1.7447522000000002,-0.2411042,2.862509,1.503648,-1.1177568,-1.358861
0.00028200000000000447,-1.7459803,-0.3214723,2.863302,1.424508,-1.1173217,-1.438794
0.00028399999999999953,-1.7447522000000002,-0.2411042,2.942442,1.503648,-1.1976898,-1.438794
0.00028600000000000153,-1.6656122,-0.2411042,2.863302,1.424508,-1.1976898,-1.438794
0.00028800000000000353,-1.5877023,-0.3214723,2.86489,1.26623,-1.2771877,-1.59866
0.00029000000000000553,-1.8251203,-0.3214723,3.0223750000000003,1.503648,-1.1972547,-1.518727
0.0002920000000000006,-1.6656122,-0.2411042,2.863302,1.424508,-1.1976898,-1.438794
0.0002940000000000026,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.0002960000000000046,-1.6643842000000002,-0.1607362,3.0223750000000003,1.503648,-1.3579908,-1.518727
0.00029799999999999965,-1.7459803,-0.3214723,2.863302,1.424508,-1.1173217,-1.438794
0.00030000000000000165,-1.8263484,-0.4018404,2.943235,1.424508,-1.1168866,-1.518727
0.00030200000000000365,-1.6656122,-0.2411042,2.863302,1.424508,-1.1976898,-1.438794
